Ref.,Limits of Potential Window (V),Lower Limit of Potential Window (V),Upper Limit of Potential Window (V),Potential Window (V),Current Density (A/g),Capacitance (F/g),Specific Surface Area (m^2/g),Charge Transfer Resistance (Rct) (ohm),Equivalent Series Resistance (Rs) (ohm),Electrode Configuration,Pore Size (nm),Pore Volume (cm^3/g),Ratio of ID/IG,N at%,C at%,O at%,Electrolyte Chemical Formula,Electrolyte Ionic Conductivity,Electrolyte Concentration (M),Cell Configuration (three/two electrode system)
DOI: 10.1007/s12034-021-02583-3,-0.2 to 1,-0.2,1,0.8,1,433.05,,6.98,,Ag@rGO,,,1.49,0,77.83,17.05,H2SO4,7,1,three-electrode system
DOI: 10.1007/s12034-021-02583-3,-0.2 to 1,-0.2,1,0.8,2,339.88,,6.98,,Ag@rGO,,,1.49,0,77.83,17.05,H2SO4,7,1,three-electrode system
DOI: 10.1007/s12034-021-02583-3,-0.2 to 1,-0.2,1,0.8,3,306.87,,6.98,,Ag@rGO,,,1.49,0,77.83,17.05,H2SO4,7,1,three-electrode system
DOI: 10.1007/s12034-021-02583-3,-0.2 to 1,-0.2,1,0.8,4,277,,6.98,,Ag@rGO,,,1.49,0,77.83,17.05,H2SO4,7,1,three-electrode system
DOI: 10.1007/s12034-021-02583-3,-0.2 to 1,-0.2,1,0.8,5,252.9,,6.98,,Ag@rGO,,,1.49,0,77.83,17.05,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10854-017-6391-y,0 to 1,0,1,1,2,,,,,moO3/graphene,,,,,,,Na2SO3,5,1,two-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,10,1606,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,20,1400,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,30,1300,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,40,1100,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,60,1000,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10854-015-4085-x,0 to 0.6,0,0.6,0.6,80,947,,,,Ni(OH)2 nanoflakes/3D graphene,,,,,,,NaOH,,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,0.1,340,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,0.2,325,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,0.5,300,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,1,270,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,2,255,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10853-017-1000-2,0 to 0.8,0,0.8,0.8,5,240,113.8,,,GCS@PANI-8@RGO,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-015-2785-z,-0.2 to 0.8,-0.2,0.8,1,1,108.8,,,,PB/rGO (1:4),,,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10008-015-2785-z,-0.2 to 0.8,-0.2,0.8,1,1,195.6,57.72,,,PB/rGO (1:2),,,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10008-015-2785-z,-0.2 to 0.8,-0.2,0.8,1,1,163.9,,,,PB/rGO (1:1),,,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10008-015-2785-z,-0.2 to 0.8,-0.2,0.8,1,1,134.6,,,,PB/rGO (2:1),,,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10854-017-7292-9,0 to 1.5,0,1.5,1.5,0.2,810,,,,PANI-GO,,,,,,,lithium perchlorate (LiClO4) dissolved in acetonitrile,,1,three-electrode system
DOI: 10.1007/s10854-017-7292-9,0 to 1.5,0,1.5,1.5,0.5,300,,,,PANI-GO,,,,,,,lithium perchlorate (LiClO4) dissolved in acetonitrile,,1,three-electrode system
DOI: 10.1007/s10854-017-7292-9,0 to 1.5,0,1.5,1.5,1,280,,,,PANI-GO,,,,,,,lithium perchlorate (LiClO4) dissolved in acetonitrile,,1,three-electrode system
DOI: 10.1007/s10854-017-7292-9,0 to 1.5,0,1.5,1.5,2,200,,,,PANI-GO,,,,,,,lithium perchlorate (LiClO4) dissolved in acetonitrile,,1,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.1,600,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.1,434,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.2,592,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.2,430,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.5,588,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,0.5,418,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,1,554,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,1,378,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,5,511,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,5,341,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,7,491,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,7,332,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,8,480,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,8,332,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,10,454,,,,Co3O4/B-rGO,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11665-020-05176-z,-0.05 to 0.4,-0.05,0.4,0.45,10,313,,,,Co3O4/B-rGO,,,,,,,NaOH,,2,three-electrode system
DOI: 10.1007/s11664-020-08049-2,0 to 0.4,0,0.4,0.4,0.5,916.6,,,,Co3O4/rGO,,,1.04,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s10008-013-2085-4,0 to 0.8,0,0.8,0.8,0.1,308.3,,,,PoPD/GR,,,,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10008-013-2085-4,0 to 0.8,0,0.8,0.8,1,216.7,,,,PoPD/GR,,,,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10008-013-2085-4,0 to 0.8,0,0.8,0.8,2.5,188.8,,,,PoPD/GR,,,,,,,H2SO4,7,2,three-electrode system
DOI: 10.1007/s10008-013-2085-4,0 to 0.8,0,0.8,0.8,5,165.8,,,,PoPD/GR,,,,,,,H2SO4,7,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,1,178.9,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,2,166.5,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,3,150.8,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,4,138.9,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,5,132.5,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,6,126.8,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,8,120.1,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1186/s11671-017-2094-9,0.2 to 0.6,0.2,0.6,0.8,10,144.4,67.6,,,Ni3Si2O5(OH)4/RGO,,,1.08,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s10008-012-1777-5,0.1 to 0.8,0.1,0.8,0.7,1,55,,,,GNP (1μm thickness),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10008-012-1777-5,0.1 to 0.8,0.1,0.8,0.7,200,45,,,,GNP (1μm thickness),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10008-012-1777-5,0.1 to 0.8,0.1,0.8,0.7,1,53,,,,GNP (6μm thickness),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10008-012-1777-5,0.1 to 0.8,0.1,0.8,0.7,200,43.46,,,,GNP (6μm thickness),,,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10800-013-0575-9,0 to 0.6,0,0.6,0.6,,,,,,LAA-rGO/mWNTs,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1007/s00339-012-6953-z,-0.9 to 0,-0.9,0,0.9,0.1,379,,,,RGO/mWCNT-30 %,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s00339-012-6953-z,-0.9 to 0,-0.9,0,0.9,0.1,306,,,,RGO/mWCNT-10 %,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s00339-012-6953-z,-0.9 to 0,-0.9,0,0.9,0.1,185,,,,RGO/mWCNT-50 %,,,1.01,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s10854-020-04400-9,-0.2 to 0.8,-0.2,0.8,1,0.1,565,,,,G/PANI-NF9,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,0.1,290.9,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,0.2,218.1,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,0.3,145.4,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,0.5,90.9,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,0.7,63.6,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10904-017-0699-1,-0.8 to 0.9,-0.8,0.9,1.7,1,60.6,20.131,,,moO2/graphene,,0.2009,,0,77.58,18.99,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s11664-020-08165-z,-1.0 to -0.1,-1,-0.1,0.9,16,230.78,,,,GP-CoFe-60,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11664-020-08165-z,-1.0 to -0.1,-1,-0.1,0.9,0.83,304,,,,GP-CoFe-60,,,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-019-02859-z,-0.4 to 0.2,-0.4,0.2,0.8,2,315,91,2.01,,Fe2O3-G,10,0.1,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11581-019-02859-z,-0.4 to 0.2,-0.4,0.2,0.8,10,185,91,2.01,,Fe2O3-G,10,0.1,,,,,KOH,6,2,three-electrode system
DOI: 10.1007/s11581-015-1456-5,-0.2 to 1,-0.2,1,0.8,1,474.2,481,,,GN/PAP,,,1.17,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s00339-016-0229-y,0.2 to 1.4,0.2,1.4,1.2,9,620,,,,R(fmWCNT-GO)/ TiO2NTs/Ti,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s00339-016-0229-y,0.2 to 1.4,0.2,1.4,1.2,20,600,,,,R(fmWCNT-GO)/ TiO2NTs/Ti,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s42823-019-00077-1,0 to 1,0,1,1,1,120,,,,rGO/AC,,,,,,,Polymer-based solid-state xanthan-gum/Na2SO4,,,two-electrode system
DOI: 10.1007/s40820-020-00527-w,0 to 0.7,0,0.7,0.7,1,1193.28,,,,Ni3Si2/NiOOH/graphene,,,,,,,KOH,6,3,three-electrode system
DOI: 10.1007/s42823-021-00300-y,-0.1 to 0.35,-0.1,0.35,0.45,1,222.2,102.6,,,mIL-101/GO,,2.09,,,,,KOH,6,6,three-electrode system
DOI: 10.1007/s11581-021-03993-3,-0.2 to 0.45,-0.2,0.45,0.65,0.6,166,,,,PTA/PVA/GO,2.225,0.023,,,,,KOH,6,3,three-electrode system
DOI: 10.1007/s11581-021-03993-3,-0.2 to 0.45,-0.2,0.45,0.65,0.8,112,,,,PTA/PVA/GO,2.225,0.023,,,,,KOH,6,3,three-electrode system
DOI: 10.1007/s11581-021-03993-3,-0.2 to 0.45,-0.2,0.45,0.65,1,84,,,,PTA/PVA/GO,2.225,0.023,,,,,KOH,6,3,three-electrode system
DOI: 10.1007/s11581-021-03993-3,-0.2 to 0.45,-0.2,0.45,0.65,1.5,73,,,,PTA/PVA/GO,2.225,0.023,,,,,KOH,6,3,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.5,118.5,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.5,177.2,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.5,215.8,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.5,158.2,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.8,86.9,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.8,152,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.8,205.8,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,0.8,130.1,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1,71.6,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1,143.5,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1,201.5,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1,113.9,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1.5,55.1,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1.5,124.7,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1.5,183.8,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,1.5,97.2,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,2,44.1,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,2,95.6,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,2,168.7,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,2,82.6,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,5,30.2,32.8,2.05,0.34,GP-P0,17.3,0.14,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,5,74.9,34.5,1.64,0.33,GP-P1,19.3,0.17,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,5,157.2,37.6,1.46,0.31,GP-P3,20.4,0.19,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s10853-015-9506-y,-0.4 to 0.4,-0.4,0.4,1,5,63.1,36.8,1.99,0.36,GP-P5,19.6,0.18,,,,,KNO3,2,1,three-electrode system
DOI: 10.1007/s12540-014-5024-8,0 to 1 ,0,1,1,0.5,187,,,,RGO/CNT,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s12540-014-5024-8,0 to 1 ,0,1,1,16,136.51,,,,RGO/CNT,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,0.2,483,,,,PPyGO80:20-SDBS,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,0.5,431.15,,,,PPyGO80:20-SDBS,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,0.5,282.78,,,,PPyGO80:20,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,0.5,200,,,,PPy,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,5,315,,,,PPyGO80:20-SDBS,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,5,164,,,,PPyGO80:20,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10008-014-2469-0,-0.2 to 0.6,-0.2,0.6,0.8,5,25,,,,PPy,,,,,,,KCl,4,1,three-electrode system
DOI: 10.1007/s10853-016-0344-3,-0.1 to 0.9,-0.1,0.9,1,1,456,326,,,mn3O4@N-doped carbon/graphene (mCG),,1.02,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10853-016-0344-3,-0.1 to 0.9,-0.1,0.9,1,2,398,326,,,mn3O4@N-doped carbon/graphene (mCG),,1.02,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10853-016-0344-3,-0.1 to 0.9,-0.1,0.9,1,5,348,326,,,mn3O4@N-doped carbon/graphene (mCG),,1.02,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10853-016-0344-3,-0.1 to 0.9,-0.1,0.9,1,10,298,326,,,mn3O4@N-doped carbon/graphene (mCG),,1.02,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10853-016-0344-3,-0.1 to 0.9,-0.1,0.9,1,20,246,326,,,mn3O4@N-doped carbon/graphene (mCG),,1.02,,,,,Na2SO4,3,1,three-electrode system
DOI: 10.1007/s10854-021-06619-6,-0.9 to 0.1,-0.9,0.1,1,0.5,222,,,,VNNWs@rGO-2,,,1.18,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s10854-021-06619-6,-0.9 to 0.1,-0.9,0.1,1,1,188.8,,,,VNNWs@rGO-2,,,1.18,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s10854-021-06619-6,-0.9 to 0.1,-0.9,0.1,1,3,144.9,,,,VNNWs@rGO-2,,,1.18,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s10854-021-06619-6,-0.9 to 0.1,-0.9,0.1,1,5,143,,,,VNNWs@rGO-2,,,1.18,,,,KOH,6,1,three-electrode system
DOI: 10.1007/s10854-021-06619-6,-0.9 to 0.1,-0.9,0.1,1,10,65,,,,VNNWs@rGO-2,,,1.18,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b00657,0 to 0.8,0,0.8,0.8,0.5,820,,,,RuO2/PEDOT-G30,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b00657,0 to 0.8,0,0.8,0.8,0.5,727,,,,RuO2-G50,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b00657,0 to 0.8,0,0.8,0.8,0.5,526,,,,PEDOT-G30,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b00657,0 to 0.8,0,0.8,0.8,0.5,195,,,,PEDOT:PSS,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,0.7,600.19,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.1,542.73,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.5,509.85,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,1.9,494.84,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,2.3,489.87,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,2.7,484.8,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.1,480.78,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.5,479.83,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,3.9,479,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04336,0 to 1.2,0,1.2,1.2,4.5,478.93,,,,3D:Co-nb@CG,,,1.01,0,84.6,10.43,KOH,6,,two-electrode system
DOI: 10.1021/acsami.5b04368,0 to 0.5,0,0.45,0.45,1,385.2,,,,H-TiO2/NG (H-TiO2/NG-B),,,1.11,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b04368,0 to 0.5,0,0.45,0.45,10,320.1,,,,H-TiO2/NG (H-TiO2/NG-B),,,1.11,,,,KOH,6,1,three-electrode system
DOI: 10.1021/acsami.5b05428,0 to 3.5,0,3.5,3.5,1,128,,,,CNG,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.5b05428,0 to 3.5,0,3.5,3.5,50,81,,,,CNG,,,,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.5b08474,0 to 0.7,0,0.7,0.7,1,124,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,two-electrode system
DOI: 10.1021/acsami.5b08474,-0.1 to 0.6,-0.1,0.6,0.7,0.5,552,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b08474,-0.1 to 0.6,-0.1,0.6,0.7,30,455,,,,moS2/PANI-60,,,,,,,H2SO4,7,1,three-electrode system
DOI: 10.1021/acsami.5b10545,0 to 0.8,0,0.8,0.8,1,281,385,,,N/S-GP,,,1.28,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.5b10545,0 to 0.8,0,0.8,0.8,5,235,385,,,N/S-GP,,,1.28,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.5b10545,0 to 0.8,0,0.8,0.8,10,199,385,,,N/S-GP,,,1.28,,,,KOH,6,6,two-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,1,274,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
DOI: 10.1021/acsami.6b00225,-1.0 to 0,-1,0,1,2,234,,,,Fe2O3 NDs@NG-0.75,,,,,,,KOH,6,2,three-electrode system
